filename;cloned_tokens;tokens;clone_rate;sloc
NodeCreator.cs;0;269;0.000000;45
TestActionHistory.cs;4256;5596;0.760543;490
TestActionStateType.cs;0;507;0.000000;79
TestCRDT.cs;0;208;0.000000;26
TestConfigIO.cs;730;5282;0.138205;738
TestDashboard.cs;0;736;0.000000;91
TestGraph.cs;560;6092;0.091924;625
TestGraphCloning.cs;0;1216;0.000000;166
TestGraphIO.cs;0;980;0.000000;157
TestIncrementalReflexion.cs;3950;8359;0.472545;736
TestLCAFinder.cs;0;1251;0.000000;171
TestLayoutIO.cs;0;1884;0.000000;283
TestMedians.cs;0;259;0.000000;45
TestNonIncrementalReflexionAnalysis.cs;1090;2324;0.469019;341
TestRandomTrees.cs;0;432;0.000000;71
TestRectanglePacker.cs;292;1947;0.149974;142
TestReflexionAnalysis.cs;0;1297;0.000000;198
TestReflexionAnalysisStress.cs;0;530;0.000000;83
TestStringListSerializer.cs;0;229;0.000000;46
UI/TestMenuEntry.cs;0;679;0.000000;78
UI/TestToggleMenuEntry.cs;0;387;0.000000;48
